Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
air-jordan-1-mid-554724-040,Air Jordan 1 Mid 554724-040,"Product Name: Air Jordan 1 Mid 554724-040Specifications: Featuring a clean classic All Black take on everyone's favourite, the Air Jordan 1. This mid-cut nubuck take on the classic offers great everyday comfort with an iconic look. It provides a much more stealthy approach compared to typical Jordan's that see some form of vibrancy.Colourway: Black / White / BlackProduct Number: 554724-040",lipingstyle,basketball shoe,"air jordan 1, basketball shoe, jordan, nike, retro",false,Size,UK6/US7,Colour,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-BLACK-WHITE-BLACK-554724-040-4830-WEB-SoleHeaven.jpg?v=1508049153,1,,false,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK7/US8,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-BLACK-WHITE-BLACK-554724-040-4847-WEB-SoleHeaven.jpg?v=1508049153,2,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK7.5/US8.5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-BLACK-WHITE-BLACK-554724-040-5949-WEB-SoleHeaven.jpg?v=1508049153,3,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK8/US9,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-BLACK-WHITE-BLACK-554724-040-4849-WEB-SoleHeaven.jpg?v=1508049153,4,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK8.5/US9.5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK9/US10,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK9.5/US10.5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK10/US11,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK11/US12,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-040,,,,,,,,UK12/US13,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,Air Jordan 1 Mid 554724-104,"Product Name: Air Jordan 1 Mid 554724-104Specifications: Featuring a clean classic all white take on everyone's favourite, the Air Jordan 1. This mid-cut nubuck take on the classic offers great everyday comfort with a iconic look.Colourway: White / Pure Platinum / WhiteProduct Number: 554724-104",lipingstyle,basketball shoe,"air jordan 1, basketball shoe, jordan, nike, retro",false,Size,UK6/US7,Colour,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-SHOE-WHITE-PURE-PLATINUM-WHITE-554724-104-4966-WEB-SoleHeaven.jpg?v=1508049652,1,,false,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK7/US8,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-SHOE-WHITE-PURE-PLATINUM-WHITE-554724-104-4975-WEB-SoleHeaven.jpg?v=1508049652,2,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK7.5/US8.5,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-SHOE-WHITE-PURE-PLATINUM-WHITE-554724-104-4972-WEB-SoleHeaven.jpg?v=1508049652,3,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK8/US9,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/JORDAN-AIR-JORDAN-1-MID-SHOE-WHITE-PURE-PLATINUM-WHITE-554724-104-4969-WEB-SoleHeaven.jpg?v=1508049652,4,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK8.5/US9.5,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK9/US10,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK9.5/US10.5,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK10/US11,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK11/US12,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-554724-104,,,,,,,,UK12/US13,,White,,,"",1500,,1,deny,manual,68.00,120.00,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,Air Jordan 1 Mid GS 554725-009,Product Name: Air Jordan 1 Mid GS 554725-009Specification: The iconic Air Jordan 1. Featuring an all black premium leather upper with a vibrant red swoosh and accents on the edging on the leather adding a classy tone to the sneaks. Bright white midsole to finish off the clean lookColourway: Black / Gym Red / Gym Red / WhiteProduct Code: 554725-009,lipingstyle,basketball shoe,"air jordan 1, basketball shoe, jordan, nike, retro",false,Size,UK3/US3.5,Colour,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/NIKE-AIR-JORDAN-1-MID-BG-BLACK-GYM-RED-GYM-RED-WHITE-554725-009-9453-WEB-SoleHeaven.jpg?v=1508049740,1,,false,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,,,,,,,,UK3.5/US4,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/NIKE-AIR-JORDAN-1-MID-BG-BLACK-GYM-RED-GYM-RED-WHITE-554725-009-9461-WEB-SoleHeaven.jpg?v=1508049740,2,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,,,,,,,,UK4/US4.5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/NIKE-AIR-JORDAN-1-MID-BG-BLACK-GYM-RED-GYM-RED-WHITE-554725-009-9462-WEB-SoleHeaven.jpg?v=1508049740,3,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,,,,,,,,UK4.5/US5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,https://cdn.shopify.com/s/files/1/2288/7155/products/NIKE-AIR-JORDAN-1-MID-BG-BLACK-GYM-RED-GYM-RED-WHITE-554725-009-9463-WEB-SoleHeaven.jpg?v=1508049740,4,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,,,,,,,,UK5/US5.5,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
air-jordan-1-mid-gs-554725-009,,,,,,,,UK5.5/US6,,Black,,,"",1500,,1,deny,manual,68.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,
